Id,Functionality Name,Attribute 1 (Categroy),Attribute 2 (Demand Measurement Unit),Functionality Description,Functionality Experience,Remarks,
1,Wheelbase,Comfort,millimeter,"Wheelbase refers to the distance between the centers of the front and rear axles of a vehicle. For users, the longer the wheelbase, the more spacious the interior, especially the legroom between the front and rear seats. This means a more comfortable ride.","Riding space, riding comfort, driving stability, handling",,
2,Luggage compartment volume,Comfort,liter,"Luggage compartment volume refers to the data measuring a vehicle's capacity to carry luggage, usually measured in liters (L).","Storage space, load capacity",,
3,Parking brake type,Comfort,Type,"The parking brake's function is to stop the wheels when parking, preventing the vehicle from rolling. Parking brakes are divided into mechanical and electronic types. The handbrake is the most common type of mechanical parking brake. The operating handle is usually installed near the gear lever. It works by directly pulling up the handle. To release it, press the button at the end of the handle slightly upwards, then push it back to its original position. The foot brake is mainly used in automatic transmission vehicles. Braking force is applied by pressing the pedal with the left foot. To release it, press the pedal again forcefully and then release it. The electronic parking brake is a modern parking brake system that uses electronic control to achieve parking braking. This includes the electronic handbrake, which works in the same way as a mechanical handbrake, using the friction between the brake disc and brake pads to control parking braking, but the control method is an electronic button.",Parking convenience,"Electronic, mechanical",
4,Parking radar,Comfort,Type,"Parking radar is a safety assist device used when parking or reversing. It is divided into front and rear radar types. The main function of parking radar is to detect surrounding obstacles using ultrasonic sensors, including information such as the distance and location of obstacles, and issue an alarm when necessary to reduce collisions and scratches caused by poor visibility. The front parking radar is installed at the front of the vehicle to detect obstacles in front, while the rear parking radar is installed at the rear of the vehicle to detect obstacles behind. The working principle of parking radar is to use ultrasonic ranging. By controlling the sensor to emit ultrasonic signals, when the signal encounters an obstacle, an echo signal is generated, which is then received and calculated, processed, and judged by the sensor to obtain the specific information of the nearest obstacle and issue a corresponding warning through sound or other means.","Security, safety reminders, parking convenience","Front, back",
5,360° panoramic view,Comfort,Have or have not,"360-degree panoramic imaging refers to the real-time image information (bird's-eye view) displayed on the vehicle's screen, providing a 360-degree panoramic view of the car's surroundings, with an ultra-wide viewing angle and seamless stitching. It can help drivers understand blind spots around the vehicle and park more intuitively and safely.","Safety, driving visibility, driving safety, parking convenience",,
6,Cruise control type,Comfort,Type,"The main types of cruise control systems include conventional cruise control, adaptive cruise control, and full-speed adaptive cruise control. Conventional cruise control (Cruise Control System, or CCS for short) is a system that allows the driver to set a fixed speed, after which the vehicle will automatically maintain this speed without the driver continuously pressing the accelerator. This system controls the fuel supply of the car through a computer, adjusting according to road conditions and driving resistance, so that the vehicle maintains the set speed without operating the accelerator. Conventional cruise control is suitable for highways with less traffic, but requires the driver to be constantly vigilant about the road conditions ahead and be prepared to brake at any time, as conventional cruise control will not automatically adjust according to the speed of the vehicle in front. Adaptive Cruise Control (ACC) is developed on the basis of conventional cruise control. It can not only maintain the speed set by the driver, but also automatically adjust the speed according to the speed and distance of the vehicle in front, maintaining a safe distance from the vehicle in front. Adaptive cruise control systems typically include sensors, digital signal processors, and control modules that can identify vehicles in front and automatically brake to decelerate, belonging to L1 level autonomous driving. However, adaptive cruise control cannot be used in all situations, such as in rainy weather, foggy weather, or poor lighting conditions at night, it may disengage or delay recognition. Full-speed adaptive cruise control is a further development of the adaptive cruise control system, with a wider operating range, capable of following the vehicle in front to a stop at red lights and automatically following the vehicle in front when the light turns green. Full-speed adaptive cruise control systems can operate in the speed range of 0-150km/h, while traditional adaptive cruise control typically operates in the range of 40-150km/h.","Driving comfort, driving safety, reduced driving fatigue","Cruise control, adaptive cruise control, full-speed adaptive cruise control",
7,Multiple driving modes,Comfort,Type,"Multiple driving modes refer to a car offering various driving modes for drivers to choose from based on different needs. These modes include, but are not limited to, EV pure electric mode, ECO economy mode, NORMAL standard mode, and SPORT sports mode. Each mode has its specific purpose and advantages to meet the driver's needs under different road conditions and environments.","Driving comfort, handling, fuel economy, driving experience, acceleration feedback","Sports, snow, economy, comfort",
8,Automatic parking,Comfort,With or without,"Automatic parking, also known as AUTO HOLD, is an automatic braking function.  When activated, it acts as a substitute for the parking brake, eliminating the need to use the handbrake or electronic parking brake, simplifying operation. For automatic transmission vehicles, it also eliminates the need for frequent shifting between D and N or D and P.","Driving comfort, parking convenience",,
9,Hill-start assist,Comfort,With or without,"Hill-start assist control (HSA) is a vehicle driving assistance system designed to make driving uphill easier and safer. When the vehicle is uphill, the HSA automatically controls the vehicle's speed to prevent rollback or slippage, reducing the driver's workload.  Specifically, this includes: Brake control: HSA automatically controls the vehicle's braking force to prevent rollback; when the driver releases the brake pedal, the system holds the vehicle on the incline for a period of time until the driver accelerates again; Throttle control: HSA can provide additional throttle input uphill as needed to increase vehicle power and make climbing easier; Steering control: Some HSA systems can also adjust steering force to provide better handling and more stable driving.","Driving safety, driving comfort, anti-rollback",,
10,Steep slope,Comfort,Have or have not,"HDC (Hill Descent Control): Also known as Hill Descent Control System, HDC allows drivers to smoothly navigate steep downhill slopes with complete control without pressing the brake pedal.  The braking system automatically controls each wheel as needed, moving slightly faster than walking speed, allowing the driver to fully concentrate on steering.","Driving safety, driving comfort",
11,Adjustable suspension,Comfort,Type,"Variable suspension adjustment refers to an automotive suspension system that adapts to different road conditions by manually or automatically altering the suspension's height or stiffness.  Through adjustment, the vehicle can be tuned to the most suitable and comfortable driving needs, thereby improving driving comfort. This system adapts to different road conditions and driving needs by adjusting parameters such as suspension damping, spring stiffness, and suspension height, improving vehicle handling, comfort, and stability.","Handling, ride comfort, driving stability","Height adjustment, firmness adjustment",
12,Electric suction door,Comfort,Have or have not,"Electric assisted door closure uses electromagnetic force to completely close and lock nearly closed car doors.  Generally, only luxury cars are equipped with electric assisted door closure.  It's a common comfort and safety feature in luxury sedans. When the door isn't fully closed, the door will automatically close until completely shut.  The function's benefits are: 1. Closing the door requires less force, increasing comfort and making the action more elegant. 2.  A door that isn't fully closed increases danger; this feature eliminates that worry.","Passenger comfort, safety, and driving convenience",,
13,Power tailgate,Comfort,With or without,"The electric tailgate, also known as the electric trunk of a car, refers to the opening and closing of the trunk via electric or remote control. Simply press the button on the driver's side door or the corresponding button on the remote key, and the trunk will open automatically. Similarly, when you need to close the trunk, simply press the close button on the trunk door. The electric tailgate has several practical functions, including: 1. Manual-automatic integration function: During the opening and closing of the trunk, you can switch between automatic and manual modes with one button, which is flexible and convenient. 2. Anti-pinch and anti-collision function: Using intelligent algorithms, it quickly senses obstacles and takes corresponding anti-pinch or anti-collision measures, effectively protecting children and vehicle safety. 3. Sound and light alarm function: When the trunk is opened or closed, sound and light prompts are used to remind people nearby to pay attention to safety and avoid collisions. 4. Emergency locking function: In case of emergency, the trunk operation can be stopped at any time via the remote key or the trunk opening button to ensure safety and control. 5. Height memory function: The opening height of the trunk can be adjusted according to personal usage habits and has a memory function, automatically rising to the set height the next time it is opened, making it convenient and practical.",Trunk usability,,
14,Inductive tailgate,Comfort,With or without,"An inductive tailgate is a smart power tailgate, also known as a power trunk. It is equipped with intelligent sensors, allowing the driver to easily open or close the trunk simply by pressing a button inside the car or using a remote key.  The inductive power tailgate has a sensor probe installed at the lower part of the rear of the vehicle for convenient driver use. Compared to the traditional manual opening method, this power tailgate is more intelligent and convenient.",Trunk usability,,
15,Remote key type,Comfort,Type,"According to function and shape, they can be divided into mechanical keys, remote control keys, card keys, fingerprint recognition keys, password keys, and digital keys implemented through a mobile phone or smartwatch app.","Driving comfort, driving convenience, locking convenience, intelligent management, vehicle status visualization","NFC/RFID key, wearable key, Bluetooth mobile key",
16,Keyless start,Comfort,With or without,"Keyless start is a technology that allows a vehicle to be started without using a traditional mechanical key. It uses radio frequency identification (RFID) technology, where a chip in the smart key carried by the owner automatically unlocks the doors. When the driver approaches the vehicle with the smart key, the vehicle senses the key and automatically disarms the anti-theft system; after entering the vehicle, the engine can be started simply by pressing the start button inside the car or turning the ignition switch, without inserting the key into the ignition.","Driving convenience, driving comfort",,
17,Keyless entry,Comfort,Type,"Keyless entry is a car unlocking function. When the owner carries a smart key close to the vehicle, the vehicle can sense the key and unlock automatically without traditional mechanical operation. This function relies on advanced RFID wireless radio frequency technology and vehicle identity coding recognition system, providing convenience and security for the owner. Specifically, when the owner carrying a key with a smart chip enters the vehicle recognition area, simply touching the sensor switch or button on the door handle will automatically unlock the car door. If the key leaves the vehicle, the door will automatically lock and enter the anti-theft alert state. In addition, some models also have an automatic window closing and locking function. When the key is a certain distance away from the vehicle, the windows will automatically roll up, further enhancing the vehicle's security protection.","Safety, locking convenience, and driving comfort","Front row, whole car",
18,Battery preheating,Comfort,With or without,"Battery preheating refers to a technology used in starting new energy vehicles, especially pure electric vehicles, to quickly raise the battery temperature to its optimal operating temperature.",,,
19,Steering wheel adjustment,Comfort,Type,"Steering wheel adjustment methods mainly include vertical and horizontal adjustments. Vertical adjustment refers to adjusting the vertical distance of the steering wheel to meet the needs of drivers of different heights for the vertical space of the steering wheel. This adjustment can be done manually or electrically to ensure comfortable legroom, allowing drivers to adjust the angle of the steering wheel according to their height or preference to achieve the optimal driving posture. Horizontal adjustment refers to adjusting the length along the steering wheel axis to adapt to the needs of different drivers for the distance between the steering wheel and themselves. This adjustment method allows drivers to adjust the position of the steering wheel according to their physique and driving habits to achieve the optimal driving posture.","Driving comfort, driving experience, driving safety","Up and down, front and back",
20,Multi-function steering wheel,Comfort,With or without,"A multi-function steering wheel refers to a standard steering wheel with added function keys within the thumb's reach and on the underside.  Generally, these include adjusting the interior temperature, switching and controlling the car audio system, and answering phone calls. Some also include cruise control buttons on the steering wheel. The advantage of a multi-function steering wheel is that the driver can directly operate many electronic devices in the car from the steering wheel, without needing to search for various buttons on the center console, allowing for more focused attention on the road and significantly improving driving safety.","Driving comfort, driving convenience, driving safety",,
